Network size: , 10, 10, 10, 15, 15, 15, 25, 25, 25, 50, 50, 50
Network probability: , 50%, 33%, 25%, 50%, 33%, 25%, 50%, 33%, 25%, 50%, 33%, 25%
Mean Cost: , 41.20, 66.70, 54.03, 86.47, 126.69, 135.36, 231.37, 222.32, 238.87, 449.18, 553.97, 569.15
Variance Cost: , 5.54, 43.67, 22.17, 144.53, 64.95, 173.96, 457.70, 744.17, 613.98, 1957.95, 4119.31, 4492.64
Min Cost: , 35.00, 59.00, 39.00, 70.00, 112.00, 101.00, 199.00, 145.00, 189.00, 326.00, 440.00, 445.00
Min object: , 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 5, 2
Max Cost: , 46.00, 82.00, 63.00, 123.00, 145.00, 155.00, 291.00, 273.00, 303.00, 554.00, 797.00, 800.00
Max object: , 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 5, 2
